zone,origin,target_m,method,dist_m,err_pct,exposure_m,hazards_touched,turns_per_km,fallback,osrm_calls,latency_ms
norte,Constitución y la costa,5000,B0,7895,57.9,0,0,1.14,0,1,212
norte,Constitución y la costa,5000,B1,4943,1.14,0,0,1.21,0,3,2789
norte,Constitución y la costa,5000,M,5000,0,0,0,0,1,30,2845
norte,Constitución y la costa,8000,B0,12556,56.95,0,0,0.56,0,1,133
norte,Constitución y la costa,8000,B1,7825,2.19,0,0,0.89,0,4,531
norte,Constitución y la costa,8000,M,7978,0.27,0,0,1.13,0,30,2871
norte,Constitución y la costa,12000,B0,15066,25.55,0,0,0.8,0,1,130
norte,Constitución y la costa,12000,B1,12370,3.08,0,0,0.49,0,2,265
norte,Constitución y la costa,12000,M,12345,2.88,0,0,0.57,0,30,2878
norte,Av. Constitución 5500,3000,B0,4656,55.2,0,0,2.15,0,1,130
norte,Av. Constitución 5500,3000,B1,2994,0.2,0,0,2.67,0,4,552
norte,Av. Constitución 5500,3000,M,2994,0.2,0,0,2.67,0,30,2846
norte,Av. Constitución 5500,5000,B0,7146,42.92,0,0,1.4,0,1,132
norte,Av. Constitución 5500,5000,B1,4757,4.86,0,0,1.89,0,7,971
norte,Av. Constitución 5500,5000,M,5062,1.24,0,0,1.38,0,30,2953
norte,Av. Constitución 5500,8000,B0,11816,47.7,0,0,0.76,0,1,130
norte,Av. Constitución 5500,8000,B1,8352,4.4,0,0,1.56,0,2,264
norte,Av. Constitución 5500,8000,M,8051,0.64,0,0,0.99,0,30,3089
norte,Av. Constitución 5500,12000,B0,16482,37.35,0,0,0.85,0,1,129
norte,Av. Constitución 5500,12000,B1,11862,1.15,0,0,0.59,0,2,265
norte,Av. Constitución 5500,12000,M,11680,2.67,0,0,0.6,0,30,2836
norte,Parque Camet,3000,B0,5287,76.23,0,0,2.08,0,1,132
norte,Parque Camet,3000,B1,3000,0,0,0,0,1,7,926
norte,Parque Camet,3000,M,2993,0.23,0,0,1.67,0,30,2891
norte,Parque Camet,5000,B0,9259,85.18,0,0,1.19,0,1,133
norte,Parque Camet,5000,B1,4984,0.32,0,0,1.61,0,5,658
norte,Parque Camet,5000,M,4984,0.32,0,0,1.61,0,30,2884
norte,Parque Camet,8000,B0,13148,64.35,0,0,0.53,0,1,130
norte,Parque Camet,8000,B1,8000,0,0,0,0,1,7,932
norte,Parque Camet,8000,M,7943,0.71,0,0,0.5,0,30,2841
norte,Parque Camet,12000,B0,16261,35.51,0,0,0.49,0,1,134
norte,Parque Camet,12000,B1,11809,1.59,0,0,0.76,0,4,531
norte,Parque Camet,12000,M,12126,1.05,0,0,0.66,0,30,2853
norte,Barrio Constitución,3000,B0,4493,49.77,0,0,1.56,0,1,139
norte,Barrio Constitución,3000,B1,2948,1.73,0,0,2.71,0,4,552
norte,Barrio Constitución,3000,M,3070,2.33,0,0,2.28,0,30,2826
norte,Barrio Constitución,5000,B0,8455,69.1,0,0,1.3,0,1,133
norte,Barrio Constitución,5000,B1,5237,4.74,0,0,1.91,0,5,699
norte,Barrio Constitución,5000,M,5092,1.84,0,0,0.98,0,30,2866
norte,Barrio Constitución,8000,B0,10962,37.03,0,0,1.37,0,1,134
norte,Barrio Constitución,8000,B1,8000,0,0,0,0,1,7,927
norte,Barrio Constitución,8000,M,8085,1.06,0,0,0.62,0,30,4089
norte,Barrio Constitución,12000,B0,19807,65.06,0,0,0.56,0,1,132
norte,Barrio Constitución,12000,B1,12000,0,0,0,0,1,7,926
norte,Barrio Constitución,12000,M,11589,3.43,0,0,0.43,0,30,2865
oeste,Plaza Rocha,3000,B0,4614,53.8,0,0,0.87,0,1,134
oeste,Plaza Rocha,3000,B1,2927,2.43,0,0,2.39,0,4,528
oeste,Plaza Rocha,3000,M,2934,2.2,0,0,2.39,0,30,4458
oeste,Plaza Rocha,5000,B0,7131,42.62,0,0,1.12,0,1,132
oeste,Plaza Rocha,5000,B1,5053,1.06,140,1,1.58,0,6,796
oeste,Plaza Rocha,5000,M,4888,2.24,0,0,1.43,0,30,2853
oeste,Plaza Rocha,8000,B0,10761,34.51,0,0,0.56,0,1,131
oeste,Plaza Rocha,8000,B1,8176,2.2,0,0,0.73,0,6,809
oeste,Plaza Rocha,8000,M,8176,2.2,0,0,0.73,0,30,2882
oeste,Plaza Rocha,12000,B0,15828,31.9,0,0,0.63,0,1,135
oeste,Plaza Rocha,12000,B1,12034,0.28,0,0,0.66,0,2,262
oeste,Plaza Rocha,12000,M,12414,3.45,0,0,0.4,0,30,2851
oeste,Barrio Plaza Peralta Ramos,3000,B0,4179,39.3,0,0,1.91,0,1,132
oeste,Barrio Plaza Peralta Ramos,3000,B1,2914,2.87,0,0,2.06,0,4,525
oeste,Barrio Plaza Peralta Ramos,3000,M,2921,2.63,0,0,1.37,0,30,2820
oeste,Barrio Plaza Peralta Ramos,5000,B0,7071,41.42,0,0,1.27,0,1,132
oeste,Barrio Plaza Peralta Ramos,5000,B1,4823,3.54,0,0,2.07,0,5,662
oeste,Barrio Plaza Peralta Ramos,5000,M,5038,0.76,0,0,1.59,0,30,3349
oeste,Barrio Plaza Peralta Ramos,8000,B0,11175,39.69,0,0,0.89,0,1,133
oeste,Barrio Plaza Peralta Ramos,8000,B1,8008,0.1,0,0,1.25,0,6,786
oeste,Barrio Plaza Peralta Ramos,8000,M,8008,0.1,0,0,1.25,0,30,2822
oeste,Barrio Plaza Peralta Ramos,12000,B0,16830,40.25,0,0,0.77,0,1,138
oeste,Barrio Plaza Peralta Ramos,12000,B1,12480,4,0,0,0.88,0,2,260
oeste,Barrio Plaza Peralta Ramos,12000,M,11996,0.03,0,0,0.83,0,30,2853
oeste,San Juan y Alberti,3000,B0,4399,46.63,450,1,1.14,0,1,135
oeste,San Juan y Alberti,3000,B1,2978,0.73,0,0,2.69,0,4,524
oeste,San Juan y Alberti,3000,M,3131,4.37,0,0,1.92,0,30,3166
oeste,San Juan y Alberti,5000,B0,7392,47.84,450,1,1.35,0,1,130
oeste,San Juan y Alberti,5000,B1,4890,2.2,450,1,1.64,0,4,530
oeste,San Juan y Alberti,5000,M,4981,0.38,450,1,1.2,0,30,3183
oeste,San Juan y Alberti,8000,B0,11643,45.54,0,0,1.03,0,1,131
oeste,San Juan y Alberti,8000,B1,8223,2.79,450,1,1.22,0,5,646
oeste,San Juan y Alberti,8000,M,7982,0.22,0,0,0.88,0,30,3217
oeste,San Juan y Alberti,12000,B0,15907,32.56,0,0,0.69,0,1,132
oeste,San Juan y Alberti,12000,B1,12057,0.48,0,0,1,0,5,666
oeste,San Juan y Alberti,12000,M,11623,3.14,0,0,0.6,0,30,3436
sur,Bosque Peralta Ramos,3000,B0,5178,72.6,0,0,1.93,0,1,133
sur,Bosque Peralta Ramos,3000,B1,3000,0,419,1,0,1,7,945
sur,Bosque Peralta Ramos,3000,M,3142,4.73,0,0,1.59,0,30,3139
sur,Bosque Peralta Ramos,5000,B0,7273,45.46,0,0,1.37,0,1,133
sur,Bosque Peralta Ramos,5000,B1,5178,3.56,0,0,1.93,0,4,522
sur,Bosque Peralta Ramos,5000,M,5043,0.86,0,0,1.39,0,30,2927
sur,Bosque Peralta Ramos,8000,B0,12327,54.09,0,0,0.89,0,1,135
sur,Bosque Peralta Ramos,8000,B1,8098,1.23,0,0,1.23,0,5,667
sur,Bosque Peralta Ramos,8000,M,8286,3.58,0,0,0.84,0,30,2841
